time1,width,height,,frame_id,filename,angle_convert,angle_smooth,angle_smooth_convert,brake_input,gear_state,gear_cmd,throttle_input,ay,curv1,smooth_convert,angle_smooth,angle_conve,angle_org
,,,,,img_file/40140.jpg,0.925001933,,,,,,,,0.924555556,1.296807619,74.33929026,0.925001933,53
,,,,,img_file/40150.jpg,0.801830072,,,,,,,,0.801443133,1.26433388,72.47773837,0.801830072,45.9426
,,,,,img_file/40160.jpg,0.733310118,,,,,,,,0.732956244,1.230304721,70.52702221,0.733310118,42.0166
,,,,,img_file/40170.jpg,0.695826596,,,,,,,,0.695490811,1.196129014,68.56790526,0.695826596,39.8689
,,,,,img_file/40180.jpg,0.6806618,,,,,,,,0.680333333,1.162768389,66.65551275,0.6806618,39
,,,,,img_file/40190.jpg,0.645756067,,,,,,,,0.645444444,1.1293419,64.73934458,0.645756067,37
,,,,,img_file/40200.jpg,0.610850333,,,,,,,,0.610555556,1.095852446,62.81956696,0.610850333,35
,,,,,img_file/40210.jpg,0.523586,,,,,,,,0.523333333,1.060088752,60.7694189,0.523586,30
,,,,,img_file/40220.jpg,0.4712274,,,,,,,,0.471,1.023638305,58.67990281,0.4712274,27
,,,,,img_file/40230.jpg,0.453774533,,,,,,,,0.453555556,0.987976145,56.63557517,0.453774533,26
,,,,,img_file/40240.jpg,0.349057333,,,,,,,,0.348888889,0.949491352,54.42944057,0.349057333,20
,,,,,img_file/40250.jpg,0.315141178,,,,,,,,0.3149891,0.911190848,52.23387028,0.315141178,18.0567
,,,,,img_file/40260.jpg,0.261793,,,,,,,,0.261666667,0.872288192,50.00378169,0.261793,15
,,,,,img_file/40270.jpg,0.244265086,,,,,,,,0.244147211,0.834244108,47.82291065,0.244265086,13.9957
,,,,,img_file/40280.jpg,0.226887267,,,,,,,,0.226777778,0.797039461,45.6901602,0.226887267,13
,,,,,img_file/40290.jpg,0.2094344,,,,,,,,0.209333333,0.76064607,43.60391486,0.2094344,12
,,,,,img_file/40300.jpg,0.174528667,,,,,,,,0.174444444,0.724314816,41.52123151,0.174528667,10
,,,,,img_file/40310.jpg,0.1570758,,,,,,,,0.157,0.688768184,39.48352647,0.1570758,9
,,,,,img_file/40320.jpg,0.1570758,,,,,,,,0.157,0.654722353,37.53185462,0.1570758,9
