filename,angle,smooth_angle,smooth_convert,Unnamed: 4,filename.1,angle_convert,Unnamed: 7,Unnamed: 8,brake_input,gear_state,gear_cmd,throttle_input,ax,ay,az,angle.1,angle_smooth,angle_convert_org,Anamoly
center/10702.jpg,-40.34,-69.97010942,-1.221208767,,center/10702.jpg,-1.221208788,,,,,,,,,,,,,0
center/10703.jpg,-37.82,-67.94793646,-1.185915191,,center/10703.jpg,-1.185915211,,,,,,,,,,,,,0
center/10704.jpg,-35.29,-65.90452501,-1.150250934,,center/10704.jpg,-0.157235779,,,,,,,,,,,,,1
center/10705.jpg,-32.77,-63.84128146,-1.114240541,,center/10705.jpg,-1.705184091,,,,,,,,,,,,,1
center/10706.jpg,-30.55,-61.77153569,-1.078116663,,center/10706.jpg,-1.078116682,,,,,,,,,,,,,0
center/10707.jpg,-28.74,-59.7125697,-1.042180928,,center/10707.jpg,-1.042180946,,,,,,,,,,,,,0
center/10708.jpg,-26.82,-57.65938258,-1.006346054,,center/10708.jpg,-1.006346071,,,,,,,,,,,,,0
center/10709.jpg,-26.02,-55.65868247,-0.97142725,,center/10709.jpg,-1.584001446,,,,,,,,,,,,,1
center/10710.jpg,-24.5,-53.67829858,-0.936863031,,center/10710.jpg,-0.184175105,,,,,,,,,,,,,1
center/10711.jpg,-22.99,-51.71789628,-0.902647557,,center/10711.jpg,-1.761921612,,,,,,,,,,,,,1
center/10712.jpg,-20.47,-49.73373402,-0.868017393,,center/10712.jpg,-0.868017408,,,,,,,,,,,,,0
center/10713.jpg,-17.14,-47.69300155,-0.832399893,,center/10713.jpg,-0.832399907,,,,,,,,,,,,,0
center/10714.jpg,-14.32,-45.6198701,-0.796216924,,center/10714.jpg,-0.45548257,,,,,,,,,,,,,1
center/10715.jpg,-13.82,-43.61241013,-0.761180139,,center/10715.jpg,-0.761180152,,,,,,,,,,,,,0
center/10716.jpg,-13.21,-41.66420206,-0.727177494,,center/10716.jpg,-0.727177506,,,,,,,,,,,,,0
