filename,angle,smooth_angle,smooth_convert,,filename,angle_convert,,,brake_input,gear_state,gear_cmd,throttle_input,ax,ay,az,angle,angle_smooth,angle_convert_org
center/10702.jpg,-40.34,-69.97010942,-1.221208767,,center/10702.jpg,-1.221208788,,,,,,,,,,,,
center/10703.jpg,-37.82,-67.94793646,-1.185915191,,center/10703.jpg,-1.185915211,,,,,,,,,,,,
center/10704.jpg,-35.29,-65.90452501,-1.150250934,,center/10704.jpg,-1.150250954,,,,,,,,,,,,
center/10705.jpg,-32.77,-63.84128146,-1.114240541,,center/10705.jpg,-1.11424056,,,,,,,,,,,,
center/10706.jpg,-30.55,-61.77153569,-1.078116663,,center/10706.jpg,-1.078116682,,,,,,,,,,,,
center/10707.jpg,-28.74,-59.7125697,-1.042180928,,center/10707.jpg,-1.042180946,,,,,,,,,,,,
center/10708.jpg,-26.82,-57.65938258,-1.006346054,,center/10708.jpg,-1.006346071,,,,,,,,,,,,
center/10709.jpg,-26.02,-55.65868247,-0.97142725,,center/10709.jpg,-0.971427267,,,,,,,,,,,,
center/10710.jpg,-24.5,-53.67829858,-0.936863031,,center/10710.jpg,-0.936863047,,,,,,,,,,,,
center/10711.jpg,-22.99,-51.71789628,-0.902647557,,center/10711.jpg,-0.902647572,,,,,,,,,,,,
center/10712.jpg,-20.47,-49.73373402,-0.868017393,,center/10712.jpg,-0.868017408,,,,,,,,,,,,
center/10713.jpg,-17.14,-47.69300155,-0.832399893,,center/10713.jpg,-0.832399907,,,,,,,,,,,,
center/10714.jpg,-14.32,-45.6198701,-0.796216924,,center/10714.jpg,-0.796216938,,,,,,,,,,,,
center/10715.jpg,-13.82,-43.61241013,-0.761180139,,center/10715.jpg,-0.761180152,,,,,,,,,,,,
center/10716.jpg,-13.21,-41.66420206,-0.727177494,,center/10716.jpg,-0.727177506,,,,,,,,,,,,
center/10717.jpg,-11.39,-39.72147496,-0.69327051,,center/10717.jpg,-0.693270522,,,,,,,,,,,,
center/10718.jpg,-9.28,-37.77159838,-0.659238744,,center/10718.jpg,-0.659238756,,,,,,,,,,,,
center/10719.jpg,-7.16,-35.8144639,-0.625080304,,center/10719.jpg,-0.625080315,,,,,,,,,,,,
center/10720.jpg,-5.24,-33.85891253,-0.590949495,,center/10720.jpg,-0.590949505,,,,,,,,,,,,
