time,time1,width,height,frame_id,filename,angle_convert,angle_smooth,angle_smooth_convert,brake_input,gear_cmd,curv1,curv1_l/r_qin,curv1_l/r_qin_atan,Unnamed: 14,curv6,curv6_l/r_qin,curv6_l/r_qin_atan,angle,Anamoly
,,,,,image/1.jpg,-0.058882314000000005,,,,,-0.00031784900000000004,-0.086391404,-0.086177435,,-0.000553614,-0.150472299,-0.149351822,-0.058882314000000005,0
,,,,,image/2.jpg,-0.08009264599999999,,,,,-0.000553614,-0.150472299,-0.149351822,,-0.000635415,-0.17270578600000003,-0.17101876100000002,-0.08009264599999999,0
,,,,,image/3.jpg,-0.091656402,,,,,-0.000635415,-0.17270578600000003,-0.17101876100000002,,-0.000728993,-0.19814040300000002,-0.195606848,-0.091656402,0
,,,,,image/4.jpg,-0.090776836,,,,,-0.000728993,-0.19814040300000002,-0.195606848,,-0.000622093,-0.16908476600000003,-0.167500496,-0.090776836,0
,,,,,image/5.jpg,-0.083843812,,,,,-0.000622093,-0.16908476600000003,-0.167500496,,-0.0006235090000000001,-0.169469745,-0.16787475100000002,-0.083843812,0
,,,,,image/6.jpg,0.12842879125537535,,,,,-0.0006235090000000001,-0.169469745,-0.16787475100000002,,-0.00078695,-0.21389312,-0.210717945,-0.094648174,1
,,,,,image/7.jpg,-0.4105423971440759,,,,,-0.00078695,-0.21389312,-0.210717945,,-0.0008197969999999999,-0.22282078100000002,-0.219239265,-0.107489302,1
,,,,,image/8.jpg,-0.105767994,,,,,-0.0008197969999999999,-0.22282078100000002,-0.219239265,,-0.0007604980000000001,-0.206703362,-0.203832713,-0.105767994,0
,,,,,image/9.jpg,-0.123923286,,,,,-0.0007604980000000001,-0.206703362,-0.203832713,,-0.0011053719999999999,-0.300440017,-0.29186043100000003,-0.123923286,0
,,,,,image/10.jpg,-0.16830946300000002,,,,,-0.0011053719999999999,-0.300440017,-0.29186043100000003,,-0.001475389,-0.401010763,-0.38137742,-0.16830946300000002,0
,,,,,image/11.jpg,-0.187233569,,,,,-0.001475389,-0.401010763,-0.38137742,,-0.0014166860000000001,-0.385055131,-0.367556855,-0.187233569,0
,,,,,image/12.jpg,-0.174490725,,,,,-0.0014166860000000001,-0.385055131,-0.367556855,,-0.001261879,-0.34297861399999996,-0.330406045,-0.174490725,0
,,,,,image/13.jpg,-0.17825675100000002,,,,,-0.001261879,-0.34297861399999996,-0.330406045,,-0.0014807029999999999,-0.402454994,-0.38262095799999996,-0.17825675100000002,0
,,,,,image/14.jpg,-0.21114619899999998,,,,,-0.0014807029999999999,-0.402454994,-0.38262095799999996,,-0.001831851,-0.49789705700000003,-0.46196384,-0.21114619899999998,0
,,,,,image/15.jpg,-0.224673227,,,,,-0.001831851,-0.49789705700000003,-0.46196384,,-0.001717405,-0.46679077399999996,-0.43672906799999994,-0.224673227,0
,,,,,image/16.jpg,-0.19154273100000002,,,,,-0.001717405,-0.46679077399999996,-0.43672906799999994,,-0.001257915,-0.34190136,-0.32944185600000003,-0.19154273100000002,0
,,,,,image/17.jpg,-0.142053946,,,,,-0.001257915,-0.34190136,-0.32944185600000003,,-0.000895576,-0.24341759699999999,-0.23877393,-0.142053946,0
,,,,,image/18.jpg,-0.11693110599999999,,,,,-0.000895576,-0.24341759699999999,-0.23877393,,-0.0008573830000000001,-0.23303659,-0.228950493,-0.11693110599999999,0
,,,,,image/19.jpg,-0.114671266,,,,,-0.0008573830000000001,-0.23303659,-0.228950493,,-0.000860425,-0.2338634,-0.229734572,-0.114671266,0
,,,,,image/20.jpg,0.08446725701589569,,,,,-0.000860425,-0.2338634,-0.229734572,,-0.000930718,-0.252969135,-0.247771185,-0.119376439,1
,,,,,image/21.jpg,0.07910094372439433,,,,,-0.000930718,-0.252969135,-0.247771185,,-0.0012094060000000001,-0.32871666899999996,-0.317589818,-0.141340251,1
,,,,,image/22.jpg,-0.18242365,,,,,-0.0012094060000000001,-0.32871666899999996,-0.317589818,,-0.0016082999999999998,-0.437135881,-0.41210478,-0.18242365,0
,,,,,image/23.jpg,-0.223686839,,,,,-0.0016082999999999998,-0.437135881,-0.41210478,,-0.001927794,-0.523974287,-0.482642575,-0.223686839,0
,,,,,image/24.jpg,-0.24479121399999998,,,,,-0.001927794,-0.523974287,-0.482642575,,-0.001993361,-0.541795403,-0.496522281,-0.24479121399999998,0
,,,,,image/25.jpg,-0.236489282,,,,,-0.001993361,-0.541795403,-0.496522281,,-0.001774681,-0.48235822700000003,-0.449434846,-0.236489282,0
,,,,,image/26.jpg,-0.220969731,,,,,-0.001774681,-0.48235822700000003,-0.449434846,,-0.001707178,-0.464010859,-0.43444407799999996,-0.220969731,0
