time1,width,height,Unnamed: 3,frame_id,filename,angle_convert,angle_smooth,angle_smooth_convert,brake_input,gear_state,gear_cmd,throttle_input,ax,ay,curv1,smooth_convert,angle_convert_org,angle_org,Anamoly
,,,,,img_file/205370.jpg,1.239147222,,,,,,,,,,,1.239147222,71,0
,,,,,img_file/205380.jpg,0.696456032,,,,,,,,,,,1.239147222,71,1
,,,,,img_file/205390.jpg,0.615862193,,,,,,,,,,,1.239147222,71,1
,,,,,img_file/205400.jpg,1.099525,,,,,,,,,,,1.099525,63,0
,,,,,img_file/205410.jpg,1.099525,,,,,,,,,,,1.099525,63,0
,,,,,img_file/205420.jpg,1.099525,,,,,,,,,,,1.099525,63,0
,,,,,img_file/205430.jpg,0.924997222,,,,,,,,,,,0.924997222,53,0
,,,,,img_file/205440.jpg,0.855186111,,,,,,,,,,,0.855186111,49,0
,,,,,img_file/205450.jpg,0.837733333,,,,,,,,,,,0.837733333,48,0
,,,,,img_file/205460.jpg,0.855186111,,,,,,,,,,,0.855186111,49,0
,,,,,img_file/205470.jpg,0.869572436,,,,,,,,,,,0.869572436,49.8243,0
,,,,,img_file/205480.jpg,0.872638889,,,,,,,,,,,0.872638889,50,0
,,,,,img_file/205490.jpg,1.378081226,,,,,,,,,,,0.886211914,50.7777,1
,,,,,img_file/205500.jpg,0.771756598,,,,,,,,,,,0.771756598,44.2197,0
,,,,,img_file/205510.jpg,0.767922222,,,,,,,,,,,0.767922222,44,0
,,,,,img_file/205520.jpg,0.011413279,,,,,,,,,,,0.683468231,39.161,1
,,,,,img_file/205530.jpg,1.070337067,,,,,,,,,,,0.6283,36,1
,,,,,img_file/205540.jpg,-0.254935441,,,,,,,,,,,0.506130556,29,1
,,,,,img_file/205550.jpg,1.061745276,,,,,,,,,,,0.523583333,30,1
,,,,,img_file/205560.jpg,0.511047003,,,,,,,,,,,0.511047003,29.2817,0
,,,,,img_file/205570.jpg,0.317364802,,,,,,,,,,,0.317364802,18.1842,0
,,,,,img_file/205580.jpg,-0.654884865,,,,,,,,,,,0.090140107,5.1648,1
,,,,,img_file/205590.jpg,0.022062056,,,,,,,,,,,0.022062056,1.2641,0
,,,,,img_file/205600.jpg,-0.069811111,,,,,,,,,,,-0.069811111,-4,0
,,,,,img_file/205610.jpg,0.133043141,,,,,,,,,,,-0.069811111,-4,1
,,,,,img_file/205620.jpg,0.289864641,,,,,,,,,,,-0.055480635,-3.1789,1
,,,,,img_file/205630.jpg,-0.087263889,,,,,,,,,,,-0.087263889,-5,0
,,,,,img_file/205640.jpg,-0.764532518,,,,,,,,,,,-0.098995646,-5.6722,1
,,,,,img_file/205650.jpg,-0.174527778,,,,,,,,,,,-0.174527778,-10,0
,,,,,img_file/205660.jpg,-1.067797522,,,,,,,,,,,-0.226886111,-13,1
,,,,,img_file/205670.jpg,-0.244338889,,,,,,,,,,,-0.244338889,-14,0
,,,,,img_file/205680.jpg,0.099204282,,,,,,,,,,,-0.244338889,-14,1
,,,,,img_file/205690.jpg,0.140414718,,,,,,,,,,,-0.226886111,-13,1
,,,,,img_file/205700.jpg,-0.834948158,,,,,,,,,,,-0.261791667,-15,1
,,,,,img_file/205710.jpg,-0.296697222,,,,,,,,,,,-0.296697222,-17,0
,,,,,img_file/205720.jpg,-0.296697222,,,,,,,,,,,-0.296697222,-17,0
,,,,,img_file/205730.jpg,0.510868133,,,,,,,,,,,-0.231711804,-13.2765,1
,,,,,img_file/205740.jpg,-0.174527778,,,,,,,,,,,-0.174527778,-10,0
,,,,,img_file/205750.jpg,-0.556385336,,,,,,,,,,,-0.127513485,-7.3062,1
,,,,,img_file/205760.jpg,-0.139622222,,,,,,,,,,,-0.139622222,-8,0
,,,,,img_file/205770.jpg,-0.122169444,,,,,,,,,,,-0.122169444,-7,0
,,,,,img_file/205780.jpg,0.118675901,,,,,,,,,,,-0.087263889,-5,1
,,,,,img_file/205790.jpg,-0.034905556,,,,,,,,,,,-0.034905556,-2,0
,,,,,img_file/205800.jpg,-0.017452778,,,,,,,,,,,-0.017452778,-1,0
,,,,,img_file/205810.jpg,0.840169972,,,,,,,,,,,-0.052358333,-3,1
,,,,,img_file/205820.jpg,-0.122169444,,,,,,,,,,,-0.122169444,-7,0
,,,,,img_file/205830.jpg,-0.157075,,,,,,,,,,,-0.157075,-9,0
,,,,,img_file/205840.jpg,-0.139622222,,,,,,,,,,,-0.139622222,-8,0
,,,,,img_file/205850.jpg,0.336845294,,,,,,,,,,,-0.157075,-9,1
,,,,,img_file/205860.jpg,-0.174527778,,,,,,,,,,,-0.174527778,-10,0
,,,,,img_file/205870.jpg,-0.689009694,,,,,,,,,,,-0.174527778,-10,1
,,,,,img_file/205880.jpg,-0.128105134,,,,,,,,,,,-0.128105134,-7.3401,0
,,,,,img_file/205890.jpg,0.326076872,,,,,,,,,,,-0.007352855,-0.4213,1
,,,,,img_file/205900.jpg,0,,,,,,,,,,,0,0,0
,,,,,img_file/205910.jpg,-0.589901916,,,,,,,,,,,0.052358333,3,1
,,,,,img_file/205920.jpg,0.034905556,,,,,,,,,,,0.034905556,2,0
,,,,,img_file/205930.jpg,-0.061945144,,,,,,,,,,,-0.061945144,-3.5493,0
,,,,,img_file/205940.jpg,-0.093792973,,,,,,,,,,,-0.093792973,-5.3741,0
,,,,,img_file/205950.jpg,0.423581309,,,,,,,,,,,-0.069811111,-4,1
,,,,,img_file/205960.jpg,0.034905556,,,,,,,,,,,0.034905556,2,0
,,,,,img_file/205970.jpg,-0.777038025,,,,,,,,,,,-0.034905556,-2,1
,,,,,img_file/205980.jpg,-0.07995292,,,,,,,,,,,-0.07995292,-4.5811,0
,,,,,img_file/205990.jpg,-0.545431453,,,,,,,,,,,-0.104716667,-6,1
,,,,,img_file/206000.jpg,-0.139622222,,,,,,,,,,,-0.139622222,-8,0
,,,,,img_file/206010.jpg,-0.157075,,,,,,,,,,,-0.157075,-9,0
,,,,,img_file/206020.jpg,-0.139622222,,,,,,,,,,,-0.139622222,-8,0
,,,,,img_file/206030.jpg,0.397831151,,,,,,,,,,,-0.157075,-9,1
,,,,,img_file/206040.jpg,0.498775101,,,,,,,,,,,-0.261791667,-15,1
,,,,,img_file/206050.jpg,-0.305397432,,,,,,,,,,,-0.305397432,-17.4985,0
,,,,,img_file/206060.jpg,-0.349055556,,,,,,,,,,,-0.349055556,-20,0
,,,,,img_file/206070.jpg,-0.33931167,,,,,,,,,,,-0.33931167,-19.4417,0
,,,,,img_file/206080.jpg,-0.366508333,,,,,,,,,,,-0.366508333,-21,0
,,,,,img_file/206090.jpg,-0.375678023,,,,,,,,,,,-0.375678023,-21.5254,0
,,,,,img_file/206100.jpg,0.001073631,,,,,,,,,,,-0.331602778,-19,1
,,,,,img_file/206110.jpg,-0.279244444,,,,,,,,,,,-0.279244444,-16,0
,,,,,img_file/206120.jpg,-0.261791667,,,,,,,,,,,-0.261791667,-15,0
,,,,,img_file/206130.jpg,-0.182885913,,,,,,,,,,,-0.182885913,-10.4789,0
,,,,,img_file/206140.jpg,-0.191980556,,,,,,,,,,,-0.191980556,-11,0
,,,,,img_file/206150.jpg,-0.664415456,,,,,,,,,,,-0.139622222,-8,1
,,,,,img_file/206160.jpg,-0.104716667,,,,,,,,,,,-0.104716667,-6,0
,,,,,img_file/206170.jpg,-0.880298914,,,,,,,,,,,-0.052358333,-3,1
,,,,,img_file/206180.jpg,0,,,,,,,,,,,0,0,0
,,,,,img_file/206190.jpg,0.861239091,,,,,,,,,,,-0.017452778,-1,1
,,,,,img_file/206200.jpg,-0.017452778,,,,,,,,,,,-0.017452778,-1,0
,,,,,img_file/206210.jpg,0.017452778,,,,,,,,,,,0.017452778,1,0
,,,,,img_file/206220.jpg,0.09377552,,,,,,,,,,,0.09377552,5.3731,0
,,,,,img_file/206230.jpg,0.380267034,,,,,,,,,,,0.174527778,10,1
,,,,,img_file/206240.jpg,0.209433333,,,,,,,,,,,0.209433333,12,0
,,,,,img_file/206250.jpg,0.322276013,,,,,,,,,,,0.322276013,18.4656,0
,,,,,img_file/206260.jpg,0.383961111,,,,,,,,,,,0.383961111,22,0
,,,,,img_file/206270.jpg,0.401413889,,,,,,,,,,,0.401413889,23,0
,,,,,img_file/206280.jpg,0.453772222,,,,,,,,,,,0.453772222,26,0
,,,,,img_file/206290.jpg,0.453772222,,,,,,,,,,,0.453772222,26,0
,,,,,img_file/206300.jpg,0.436319444,,,,,,,,,,,0.436319444,25,0
,,,,,img_file/206310.jpg,0.401413889,,,,,,,,,,,0.401413889,23,0
,,,,,img_file/206320.jpg,0.366508333,,,,,,,,,,,0.366508333,21,0
,,,,,img_file/206330.jpg,0.366508333,,,,,,,,,,,0.366508333,21,0
,,,,,img_file/206340.jpg,0.401413889,,,,,,,,,,,0.401413889,23,0
,,,,,img_file/206350.jpg,0.401413889,,,,,,,,,,,0.401413889,23,0
,,,,,img_file/206360.jpg,0.436319444,,,,,,,,,,,0.436319444,25,0
,,,,,img_file/206370.jpg,0.453772222,,,,,,,,,,,0.453772222,26,0
,,,,,img_file/206380.jpg,0.453772222,,,,,,,,,,,0.453772222,26,0
,,,,,img_file/206390.jpg,0.079395653,,,,,,,,,,,0.453772222,26,1
,,,,,img_file/206400.jpg,0.411998999,,,,,,,,,,,0.411998999,23.6065,0
,,,,,img_file/206410.jpg,0.359867551,,,,,,,,,,,0.359867551,20.6195,0
,,,,,img_file/206420.jpg,0.296697222,,,,,,,,,,,0.296697222,17,0
,,,,,img_file/206430.jpg,0.296697222,,,,,,,,,,,0.296697222,17,0
,,,,,img_file/206440.jpg,0.191980556,,,,,,,,,,,0.191980556,11,0
,,,,,img_file/206450.jpg,-0.674972695,,,,,,,,,,,0.191980556,11,1
,,,,,img_file/206460.jpg,0.444641074,,,,,,,,,,,0.191980556,11,1
,,,,,img_file/206470.jpg,0.122169444,,,,,,,,,,,0.122169444,7,0
,,,,,img_file/206480.jpg,0.104716667,,,,,,,,,,,0.104716667,6,0
,,,,,img_file/206490.jpg,0.034905556,,,,,,,,,,,0.034905556,2,0
,,,,,img_file/206500.jpg,0.319261908,,,,,,,,,,,-0.003506263,-0.2009,1
,,,,,img_file/206510.jpg,-0.663863813,,,,,,,,,,,-0.09213845,-5.2793,1
,,,,,img_file/206520.jpg,-0.122169444,,,,,,,,,,,-0.122169444,-7,0
,,,,,img_file/206530.jpg,-0.174527778,,,,,,,,,,,-0.174527778,-10,0
,,,,,img_file/206540.jpg,-0.209433333,,,,,,,,,,,-0.209433333,-12,0
,,,,,img_file/206550.jpg,-0.209433333,,,,,,,,,,,-0.209433333,-12,0
,,,,,img_file/206560.jpg,-0.209433333,,,,,,,,,,,-0.209433333,-12,0
,,,,,img_file/206570.jpg,-0.186742977,,,,,,,,,,,-0.186742977,-10.6999,0
,,,,,img_file/206580.jpg,-0.492144055,,,,,,,,,,,-0.174527778,-10,1
,,,,,img_file/206590.jpg,-0.174527778,,,,,,,,,,,-0.174527778,-10,0
,,,,,img_file/206600.jpg,-0.174527778,,,,,,,,,,,-0.174527778,-10,0
,,,,,img_file/206610.jpg,-0.174527778,,,,,,,,,,,-0.174527778,-10,0
,,,,,img_file/206620.jpg,-0.174527778,,,,,,,,,,,-0.174527778,-10,0
,,,,,img_file/206630.jpg,-0.174527778,,,,,,,,,,,-0.174527778,-10,0
,,,,,img_file/206640.jpg,-0.191980556,,,,,,,,,,,-0.191980556,-11,0
,,,,,img_file/206650.jpg,-0.191980556,,,,,,,,,,,-0.191980556,-11,0
,,,,,img_file/206660.jpg,0.520409088,,,,,,,,,,,-0.191980556,-11,1
,,,,,img_file/206670.jpg,-0.174527778,,,,,,,,,,,-0.174527778,-10,0
,,,,,img_file/206680.jpg,0.303992867,,,,,,,,,,,-0.174527778,-10,1
,,,,,img_file/206690.jpg,-0.157075,,,,,,,,,,,-0.157075,-9,0
,,,,,img_file/206700.jpg,-0.157075,,,,,,,,,,,-0.157075,-9,0
,,,,,img_file/206710.jpg,-0.157075,,,,,,,,,,,-0.157075,-9,0
,,,,,img_file/206720.jpg,-0.157075,,,,,,,,,,,-0.157075,-9,0
,,,,,img_file/206730.jpg,-0.157075,,,,,,,,,,,-0.157075,-9,0
,,,,,img_file/206740.jpg,-0.139622222,,,,,,,,,,,-0.139622222,-8,0
,,,,,img_file/206750.jpg,-0.087263889,,,,,,,,,,,-0.087263889,-5,0
,,,,,img_file/206760.jpg,-0.671610182,,,,,,,,,,,-0.069811111,-4,1
,,,,,img_file/206770.jpg,-0.017452778,,,,,,,,,,,-0.017452778,-1,0
,,,,,img_file/206780.jpg,-0.034905556,,,,,,,,,,,-0.034905556,-2,0
