time1,width,height,,frame_id,filename,angle_convert,angle_smooth,angle_smooth_convert,brake_input,gear_state,gear_cmd,throttle_input,ax,ay,curv1,smooth_convert,angle_convert_org,angle_org
,,,,,img_file/72710.jpg,0.828827181,,,,,,,,,,,0.828827181,47.4897
,,,,,img_file/72720.jpg,0.794247992,,,,,,,,,,,0.794247992,45.5084
,,,,,img_file/72730.jpg,0.802827778,,,,,,,,,,,0.802827778,46
,,,,,img_file/72740.jpg,0.741481264,,,,,,,,,,,0.741481264,42.485
,,,,,img_file/72750.jpg,0.593394444,,,,,,,,,,,0.593394444,34
,,,,,img_file/72760.jpg,0.523583333,,,,,,,,,,,0.523583333,30
,,,,,img_file/72770.jpg,0.311786894,,,,,,,,,,,0.311786894,17.8646
,,,,,img_file/72780.jpg,-0.127223769,,,,,,,,,,,-0.127223769,-7.2896
,,,,,img_file/72790.jpg,-0.82869803,,,,,,,,,,,-0.82869803,-47.4823
,,,,,img_file/72800.jpg,-1.265668463,,,,,,,,,,,-1.265668463,-72.5196
,,,,,img_file/72810.jpg,-1.308958333,,,,,,,,,,,-1.308958333,-75
,,,,,img_file/72820.jpg,-1.239147222,,,,,,,,,,,-1.239147222,-71
,,,,,img_file/72830.jpg,-1.336135799,,,,,,,,,,,-1.336135799,-76.5572
,,,,,img_file/72840.jpg,-1.448580556,,,,,,,,,,,-1.448580556,-83
,,,,,img_file/72850.jpg,-1.010145834,,,,,,,,,,,-1.010145834,-57.8788
,,,,,img_file/72860.jpg,-0.619484602,,,,,,,,,,,-0.619484602,-35.4949
,,,,,img_file/72870.jpg,-0.741371311,,,,,,,,,,,-0.741371311,-42.4787
,,,,,img_file/72880.jpg,-0.420501992,,,,,,,,,,,-0.420501992,-24.0937
,,,,,img_file/72890.jpg,-0.427805979,,,,,,,,,,,-0.427805979,-24.5122
,,,,,img_file/72900.jpg,-0.532913588,,,,,,,,,,,-0.532913588,-30.5346
,,,,,img_file/72910.jpg,-0.654992278,,,,,,,,,,,-0.654992278,-37.5294
,,,,,img_file/72920.jpg,-0.959784099,,,,,,,,,,,-0.959784099,-54.9932
,,,,,img_file/72930.jpg,-1.230284702,,,,,,,,,,,-1.230284702,-70.4922
,,,,,img_file/72940.jpg,-1.326411111,,,,,,,,,,,-1.326411111,-76
,,,,,img_file/72950.jpg,-1.091863231,,,,,,,,,,,-1.091863231,-62.561
,,,,,img_file/72960.jpg,-0.890091667,,,,,,,,,,,-0.890091667,-51
,,,,,img_file/72970.jpg,-0.829115152,,,,,,,,,,,-0.829115152,-47.5062
,,,,,img_file/72980.jpg,-0.522482063,,,,,,,,,,,-0.522482063,-29.9369
,,,,,img_file/72990.jpg,-0.200813406,,,,,,,,,,,-0.200813406,-11.5061
,,,,,img_file/73000.jpg,-0.139622222,,,,,,,,,,,-0.139622222,-8
,,,,,img_file/73010.jpg,-0.139622222,,,,,,,,,,,-0.139622222,-8
,,,,,img_file/73020.jpg,-0.139622222,,,,,,,,,,,-0.139622222,-8
,,,,,img_file/73030.jpg,-0.200445153,,,,,,,,,,,-0.200445153,-11.485
,,,,,img_file/73040.jpg,-0.279244444,,,,,,,,,,,-0.279244444,-16
